Wavenumber [cm^-1];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.]
;t0;t1;t2;t3;t4;t5
405,09742;0,011908504;0,008151183;0,011248084;0,008524014;0,01021561;0,010645432
406,06168;0,012081502;0,008191141;0,011496954;0,008640374;0,01022127;0,010812312
407,02594;0,011834486;0,008311086;0,011475812;0,009786724;0,010436922;0,010719181
407,9902;0,011497455;0,008671016;0,011154655;0,010953063;0,010722564;0,01066604
408,95446;0,011300409;0,009270932;0,010813485;0,011279392;0,010538198;0,01103289
409,91872;0,011363348;0,009890834;0,010782301;0,011185711;0,009933822;0,011619729
410,88298;0,011646272;0,010220721;0,010941104;0,01151202;0,009489437;0,011816558
411,84724;0,01187918;0,010230593;0,011159892;0,012068319;0,009485042;0,011603376
412,8115;0,012042074;0,010210451;0,011418667;0,012164607;0,009820638;0,011520185
413,77576;0,012264951;0,010330295;0,011477427;0,011670885;0,010106225;0,011556982
